Stato,AbbStato,Somma di Popolazione,Capitale
Alabama,AL,5024279,Montgomery
Alaska,AK,733391,Juneau
Arizona,AZ,7151502,Phoenix
Arkansas,AR,3011524,Little Rock
California,CF,39538223,Sacramento
Carolina del Nord,NC,10439388,Raleigh
Carolina del Sud,SC,5118425,Columbia
Colorado,CL,5773714,Denver
Connecticut,CT,3605944,Hartford
Dakota del Nord,ND,779094,Bismarck
Dakota del Sud,SD,886667,Pierre
Delaware,DL,989948,Dover
Florida,FL,21538187,Tallahassee
Georgia,GA,10711908,Atlanta
Hawaii,HA,1455271,Honolulu
Idaho,ID,1839106,Boise
Illinois,IL,12812508,Springfield
Indiana,IN,6785528,Indianapolis
Iowa,IA,3190369,Des Moines
Kansas,KA,2937880,Topeka
Kentucky,KY,4505836,Frankfort
Louisiana,LA,4657757,Baton Rouge
Maine,ME,1362359,Augusta
Maryland,MD,6177224,Annapolis
Massachusetts,MS,7029917,Boston
Michigan,MC,10077331,Lansing
Minnesota,MN,5706494,Saint Paul
Mississippi,MI,2961279,Jackson
Missouri,MO,6154913,Jefferson City
Montana,MT,1084225,Helena
Nebraska,NB,1961504,Lincoln
Nevada,NV,3104614,Carson City
New Hampshire,NH,1377529,Concord
New Jersey,NJ,9288994,Trenton
New York,NY,20201249,Albany
Nuovo Messico,NM,2117522,Santa Fe
Ohio,OH,11799448,Columbus
Oklahoma,OK,3959353,Oklahoma City
Oregon,OR,4237256,Salem
Pennsylvania,PA,13002700,Harrisburg
Rhode Island,RI,1097379,Providence
Tennessee,TN,6910840,Nashville
Texas,TX,29145505,Austin
Utah,UT,3271616,Salt Lake City
Vermont,VT,643077,Montpelier
Virginia,VA,8631393,Richmond
Washington,WN,7705281,Olympia
West Virginia,WV,1793716,Charleston
Wisconsin,WS,5893718,Madison
Wyoming,WY,576851,Cheyenne
